Wall time,Step,Value
1558889376.5128798,4510,0.10258746147155762
1558889481.92995,4530,0.109137162566185
1558889490.9713905,4533,0.11207380890846252
1558889536.539834,4542,0.0940006673336029
1558889788.7844794,4578,0.09297982603311539
1558889798.1997743,4581,0.11523421108722687
1558889919.0082488,4597,0.10921263694763184
1558889939.4457867,4599,0.07328139990568161
1558890108.9930847,4628,0.18582932651042938
1558890331.7420096,4656,0.10183130949735641
1558890368.4513347,4664,0.11198031902313232
1558890387.542392,4668,0.09844598919153214
1558890423.5399072,4676,0.11179837584495544
1558890508.622705,4687,0.07728654891252518
1558890678.361555,4713,0.08711760491132736
1558890705.8310535,4718,0.11048228293657303
1558890821.7178862,4734,0.10347229242324829
1558890944.4238877,4750,0.10537075251340866
1558890980.0945137,4758,0.08456513285636902
1558891016.3793502,4767,0.1581663340330124
1558891081.6784356,4776,0.1597898304462433
1558891186.0099504,4787,0.14445170760154724
1558891199.330725,4788,0.11523138731718063
1558891258.6104977,4800,0.10647592693567276
1558891267.2657933,4802,0.12640272080898285
1558891536.3575017,4840,0.09857047349214554
1558891590.3440597,4852,0.11799097061157227
1558891734.1249757,4871,0.07770971953868866
1558891879.4034119,4894,0.10971812158823013
1558892026.9536245,4914,0.08892159163951874
1558892283.202328,4954,0.09279447048902512
1558892361.8779368,4962,0.14702719449996948
1558892426.4800901,4971,0.0888429507613182
1558892437.297665,4974,0.13761131465435028
1558892448.0376477,4976,0.14590373635292053
1558892779.650217,5027,0.10726404935121536
1558892791.7114334,5030,0.0884263888001442
1558892966.417505,5050,0.08325919508934021
1558892985.5861888,5052,0.12832923233509064
1558892990.7202432,5053,0.10389895737171173
1558893034.543472,5060,0.10008832812309265
1558893118.3405905,5078,0.14955447614192963
1558893339.4889572,5106,0.11115499585866928
1558893453.363781,5126,0.07985856384038925
1558893472.4000947,5128,0.09162875264883041
1558893530.1027715,5134,0.10364507138729095
1558893708.0092368,5165,0.1493636518716812
1558893874.651795,5182,0.1288890391588211
1558893970.5767205,5200,0.08483700454235077
1558894007.1810493,5208,0.09685905277729034
1558894246.7756772,5239,0.10715029388666153
1558894436.247905,5266,0.08782714605331421
1558894577.7247055,5289,0.10407232493162155
1558894814.021138,5318,0.09149700403213501
1558894861.9549227,5329,0.1284228265285492
1558894962.856825,5345,0.11429910361766815
1558895098.87407,5359,0.11883873492479324
1558895196.5351367,5380,0.11956777423620224
1558895481.2310445,5420,0.14190717041492462
1558895655.2401175,5442,0.1236538216471672
1558895705.2288985,5447,0.12596170604228973
1558895948.364484,5484,0.11825795471668243
1558896024.9474876,5495,0.14522762596607208
1558896051.7675807,5501,0.08487595617771149
1558896123.6432037,5515,0.10966525971889496
1558896143.0918584,5517,0.10669980943202972
1558896374.730416,5549,0.1056370884180069
1558896571.47419,5573,0.15866172313690186
1558896640.5364392,5585,0.09330842643976212
1558896649.1941621,5587,0.1410379558801651
1558896676.9151897,5593,0.08697229623794556
1558896750.382203,5605,0.11820031702518463
1558896950.4095387,5630,0.1402329057455063
1558897145.8218231,5658,0.10089348256587982
1558897166.2211275,5660,0.09633117914199829
1558897205.459316,5664,0.08849732577800751
1558897271.9886317,5679,0.11906926333904266
1558897570.1852324,5720,0.06966271251440048
1558897579.637254,5723,0.12051007151603699
1558897823.7295578,5759,0.15281939506530762
1558897907.4093134,5776,0.09400084614753723
1558897916.7213192,5779,0.1692255288362503
1558897968.0456192,5789,0.08050745725631714
1558898122.0826938,5807,0.11197403073310852
1558898130.986954,5808,0.09502658993005753
1558898205.7346902,5825,0.11340880393981934
1558898223.7597833,5828,0.12698090076446533
1558898461.217608,5862,0.10752393305301666
